成長期3α,21,22.8,24.5,14.5,15.8,17,16.5,11.5,-2.5,24,25.8,27.5,19.5,14.5,-4,34.5,成長期3α,,,,,,,
成長期3β,22.8,24,26,14.5,15.8,17,17.5,11.5,-3,25.3,27,29,20.5,14.5,-4.5,34.5,成長期3β,,,,,,,
成長期4,23.8,25.5,27.5,15.8,17,18.5,18.5,12.5,-3,26.8,28.5,30.5,21.5,15.5,-4.5,37.5,成長期4,,,,,,,
※ミートパワー以外は1.5倍,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
成長型,"衰え年齢",18歳,19歳,20歳,21歳,22歳,23歳,24歳,25歳,26歳,27歳,28歳,29歳,30歳,31歳,32歳,33歳,34歳,35歳,36歳,37歳,38歳,39歳,40歳
早熟,31歳,成長期2,成長期2 15回溜め,成長期4,成長期4,成長期2,成長期2,通常期3,通常期3,停滞期3,停滞期3,停滞期2,停滞期2,停滞期1,衰え(停滞期1),,,,,,,,,
鍋底,35歳,成長期2,成長期2,通常期2,通常期2,通常期1,通常期1 15回溜め,通常期2,通常期2,通常期2,通常期2 15回溜め,通常期4,通常期4,停滞期2,停滞期2,停滞期2,停滞期2,停滞期1,衰え(停滞期1),停滞期02,停滞期02,停滞期00,,
普通早,33歳,通常期3,通常期3 15回溜め,成長期1,成長期1 15回溜め,成長期3α,成長期3α,通常期4,通常期4,通常期3,通常期3,停滞期3,停滞期3,停滞期2,停滞期2,停滞期1,"衰え(停滞期1)",,,,,,,
普通,35歳,通常期1,通常期1 15回溜め,通常期3,通常期3 15回溜め,成長期1,成長期1 15回溜め,成長期3β,成長期3β,成長期1,成長期1,停滞期2,停滞期2,停滞期2,停滞期2,停滞期1,停滞期1,停滞期1,衰え(停滞期1),停滞期02,停滞期02,,,
正弦波,37歳,通常期1,通常期1,停滞期3,停滞期3 15回溜め,通常期1,通常期1 15回溜め,通常期2,通常期2 15回溜め,通常期4,通常期4 15回溜め,成長期1,成長期1,通常期1,通常期1,通常期1,通常期1,停滞期3,停滞期3,停滞期1,衰え(停滞期1),停滞期02,停滞期02,
晩成,37歳,停滞期3,停滞期3 15回溜め,通常期1,通常期1,通常期1,通常期1,通常期1,通常期1 15回溜め,通常期2,通常期2 15回溜め,通常期4,通常期4,通常期4,通常期4 15回溜め,成長期2-,成長期2-,停滞期1,停滞期1,停滞期1,衰え(停滞期1),停滞期02,停滞期02,停滞期00
凹凸,35歳,停滞期3,停滞期3 15回溜め,成長期2,成長期2,停滞期3,停滞期3 15回溜め,成長期2,成長期2,停滞期3,停滞期3 15回溜め,成長期1,成長期1,停滞期2,停滞期2 15回溜め,通常期2,通常期2,停滞期1,衰え(停滞期1),停滞期02,停滞期02,停滞期00,,
持続,35歳,通常期2,通常期2,通常期2,通常期2,通常期2,通常期2,通常期2,通常期2,通常期2,通常期2,通常期2,通常期2,通常期2,通常期2,通常期2,通常期2,通常期2,衰え(通常期2),停滞期02,停滞期02,,,
普通(持続),35歳,通常期2,通常期2,通常期2,通常期2,通常期2,通常期2 15回溜め,通常期3,通常期3 15回溜め,通常期4,通常期4,通常期3,通常期3,通常期1,通常期1,停滞期3,停滞期3,停滞期3,衰え(停滞期3),停滞期02,停滞期02,,,
持続早,35歳,通常期2,通常期2 15回溜め,通常期4,通常期4 15回溜め,成長期1,成長期1,通常期4,通常期4,通常期3,通常期3,停滞期2,停滞期2,停滞期2,停滞期2,停滞期1,停滞期1,停滞期02,衰え(停滞期02),停滞期02,停滞期02,停滞期00,停滞期00,
